"Date","White Ball 1","White Ball 2","White Ball 3","White Ball 4","White Ball 5","Powerball","White Ball Sum","White Ball Mean","Jackpot (Annuity)","Day Of Week","Ascendant Sign","Ascendant Deg","Moon Illum %","Moon Phase","Moon Nakshatra","Moon Nakshatra (ML)","Nakshatra No","Pada","Sun Sign","Sun Deg","Sun House","Sun Dignity","Moon Sign","Moon Deg","Moon House","Moon Dignity","Mercury Sign","Mercury Deg","Mercury House","Mercury Dignity","Venus Sign","Venus Deg","Venus House","Venus Dignity","Mars Sign","Mars Deg","Mars House","Mars Dignity","Jupiter Sign","Jupiter Deg","Jupiter House","Jupiter Dignity","Saturn Sign","Saturn Deg","Saturn House","Saturn Dignity","Rahu Sign","Rahu Deg","Rahu House","Rahu Dignity"
"2026-04-27","18","31","33","36","62","3","180","36.0","","Monday","Scorpio","20","88","Waxing","Uttara Phalguni","ഉത്രം","12","2","Aries","14","6","EXALTED","Virgo","3","11","","Pisces","27","5","DEBILITATED","Taurus","11","7","","Pisces","20","5","","Gemini","24","8","","Pisces","15","5","","Aquarius","13","4",""
"2026-04-25","4","30","36","52","57","2","179","35.8","","Saturday","Scorpio","18","71","Waxing","Magha","മകം","10","3","Aries","12","6","EXALTED","Leo","7","10","","Pisces","23","5","DEBILITATED","Taurus","8","7","","Pisces","18","5","","Gemini","24","8","","Pisces","14","5","","Aquarius","13","4",""
"2026-04-22","24","29","32","49","63","11","197","39.4","","Wednesday","Scorpio","16","39","Waxing","Punarvasu","പുണർതം","7","2","Aries","9","6","EXALTED","Gemini","26","8","","Pisces","18","5","DEBILITATED","Taurus","5","7","","Pisces","16","5","","Gemini","24","8","","Pisces","14","5","","Aquarius","13","4",""
"2026-04-20","9","17","36","47","64","26","173","34.6","","Monday","Scorpio","14","18","Waxing","Mrigashira","മകയിരം","5","2","Aries","7","6","EXALTED","Taurus","27","7","EXALTED","Pisces","15","5","DEBILITATED","Taurus","2","7","","Pisces","15","5","","Gemini","23","8","","Pisces","14","5","","Aquarius","13","4",""
"2026-04-18","24","25","39","46","61","1","195","39.0","","Saturday","Scorpio","12","4","Waxing","Krittika","കാർത്തിക","3","1","Aries","5","6","EXALTED","Aries","27","6","","Pisces","12","5","DEBILITATED","Taurus","0","6","","Pisces","13","5","","Gemini","23","8","","Pisces","14","5","","Aquarius","13","4",""
"2026-04-15","13","21","27","43","45","26","149","29.8","","Wednesday","Scorpio","10","3","Waning","Uttara Bhadrapada","ഉത്രട്ടാതി","26","4","Aries","2","6","EXALTED","Pisces","13","5","","Pisces","7","5","DEBILITATED","Aries","26","6","","Pisces","11","5","","Gemini","23","8","","Pisces","13","5","","Aquarius","14","4",""
"2026-04-13","38","43","59","63","64","15","267","53.4","","Monday","Scorpio","8","14","Waning","Shatabhisha","ചതയം","24","3","Aries","0","5","EXALTED","Aquarius","16","4","","Pisces","4","5","DEBILITATED","Aries","24","6","","Pisces","9","5","","Gemini","23","8","","Pisces","13","5","","Aquarius","14","4",""
"2026-04-11","6","47","49","53","60","6","215","43.0","","Saturday","Scorpio","6","32","Waning","Shravana","തിരുവോണം","22","3","Pisces","28","5","","Capricorn","20","3","","Pisces","2","5","DEBILITATED","Aries","21","6","","Pisces","8","5","","Gemini","22","8","","Pisces","13","5","","Aquarius","14","4",""
"2026-04-08","3","16","17","42","52","3","130","26.0","","Wednesday","Scorpio","4","60","Waning","Mula","മൂലം","19","4","Pisces","25","5","","Sagittarius","13","2","","Aquarius","28","4","","Aries","17","6","","Pisces","5","5","","Gemini","22","8","","Pisces","12","5","","Aquarius","14","4",""
"2026-04-06","7","24","37","42","57","5","167","33.4","$230,800,000","Monday","Scorpio","2","78","Waning","Jyeshtha","തൃക്കേട്ട","18","1","Pisces","23","5","","Scorpio","19","1","DEBILITATED","Aquarius","26","4","","Aries","15","6","","Pisces","4","5","","Gemini","22","8","","Pisces","12","5","","Aquarius","14","4",""
